precinct_name,dem_votes_pres,rep_votes_pres,other_votes_pres,dem_margin_pres
2151107703,103,56,7,47
2151207004,0,0,0,0
2151207700,833,292,26,541
2151907002,2,0,0,2
2154907701,751,360,25,391
2154907702,348,211,13,137
2154907704,286,261,19,25
2154907705,252,302,9,-50
2154907900,366,55,11,311
2154907901,586,245,32,341
2154907902,211,47,11,164
2154907903,503,98,25,405
2154907904,833,160,41,673
2154907905,375,51,19,324
2154907906,359,111,14,248
2154907907,643,131,20,512
2154907908,240,93,15,147
2154907909,454,43,14,411
2154907910,457,98,22,359
2154907911,706,116,12,590
2154907912,1241,307,38,934
2154907913,438,95,15,343
2154907914,274,135,12,139
2154907915,957,247,30,710
2154907916,802,260,29,542
2171107600,1147,403,29,744
2171107601,671,207,23,464
2171107602,468,206,24,262
2171107603,987,334,14,653
2171107604,681,235,22,446
2171107605,724,267,30,457
2171107606,1047,360,23,687
2171107607,1189,342,41,847
2171107608,984,342,27,642
2171107609,1118,325,38,793
2171107610,1209,418,40,791
2171107611,723,225,26,498
2171107612,689,277,29,412
2171107613,636,253,24,383
2171107614,428,147,12,281
2171107615,1299,303,34,996
2171107616,977,270,45,707
2171107617,732,342,30,390
2171107618,776,352,41,424
2171107622,531,266,35,265
2171107623,908,431,45,477
2171107624,1030,314,38,716
2171107625,669,286,30,383
2171107626,860,313,34,547
2171107627,557,290,20,267
2171107628,585,267,19,318
2171107629,659,317,26,342
2171107630,391,202,18,189
2171107631,410,260,21,150
2171107632,516,247,16,269
2171107633,452,242,27,210
2171107634,671,330,34,341
2171107638,516,300,21,216
2171107639,455,243,15,212
2171107640,472,222,23,250
2171107641,399,239,24,160
2171107642,739,320,25,419
2171107643,474,235,25,239
2171107644,513,212,24,301
2171107645,750,318,31,432
2171107646,426,218,15,208
2171107647,520,246,31,274
2171107648,546,267,25,279
2171107649,868,469,47,399
2171107650,579,417,17,162
2171107651,1176,581,40,595
2171207300,1130,422,46,708
2171207301,1151,313,36,838
2171207302,1314,314,49,1000
2171207303,644,136,18,508
2171207304,755,160,17,595
2171207305,752,176,29,576
2171207306,880,181,26,699
2171207307,778,259,22,519
2171207308,748,167,23,581
2171207309,815,206,23,609
2171207310,1049,260,31,789
2171207311,590,123,9,467
2171207312,780,208,16,572
2171207313,953,210,40,743
2171207314,1118,207,40,911
2171207315,560,169,25,391
2171207316,876,287,26,589
2171907400,1509,582,75,927
2171907401,1025,355,44,670
2171907402,987,329,40,658
2171907403,944,333,26,611
2171907404,1092,489,50,603
2171907405,705,353,32,352
2171907406,958,494,44,464
2171907407,242,148,14,94
2171907408,322,202,20,120
2171907619,948,542,38,406
2171907620,1004,467,47,537
2171907621,476,288,24,188
2171907635,669,340,27,329
2171907636,800,400,30,400
2171907637,789,461,20,328
2181007800,723,161,28,562
2181007801,344,56,15,288
2181007802,824,160,27,664
2181007803,1325,168,42,1157
2181007806,981,105,32,876
2181007807,817,119,22,698
2181007808,1052,159,21,893
2181007809,966,148,28,818
2181007810,540,68,26,472
2181007811,795,91,30,704
2181007812,614,87,15,527
2181007813,807,79,22,728
2181007816,1016,117,27,899
2181007817,1336,140,45,1196
2181007818,1103,189,45,914
2181007819,1152,173,49,979
2181007820,1147,236,38,911
2181007821,770,97,31,673
2181007822,1056,137,46,919
2181007823,766,110,42,656
2181007824,660,96,26,564
2181007825,1323,113,30,1210
2181007826,633,73,24,560
2181007829,1013,222,37,791
2181007830,1173,143,30,1030
2181007831,708,250,19,458
2181007832,1095,251,41,844
2181007833,925,159,44,766
2181007834,788,88,37,700
2181007835,457,61,8,396
2181007836,450,77,10,373
2181007837,545,81,7,464
2181007838,847,148,30,699
2181007839,995,103,22,892
2181007840,1370,151,30,1219
2181007841,698,104,32,594
2181007842,843,159,31,684
2181007843,924,91,29,833
2181007846,631,49,8,582
2181007847,565,72,33,493
2181007848,493,73,21,420
2181007849,793,92,25,701
2181007850,969,111,34,858
2181007851,438,45,15,393
2181207100,897,354,47,543
2181207101,908,245,19,663
2181207102,704,224,26,480
2181207103,723,262,27,461
2181207104,679,271,18,408
2181207105,1094,281,48,813
2181207106,994,257,26,737
2181207200,837,177,33,660
2181207201,729,183,19,546
2181207202,586,104,13,482
2181207203,660,152,21,508
2181207204,1144,223,25,921
2181207205,777,128,27,649
2181207206,847,105,26,742
2181207207,1169,216,27,953
2181207208,716,175,30,541
2181207209,978,222,27,756
2181207210,1066,158,27,908
2181207211,560,162,17,398
2181207212,883,166,29,717
2181207500,815,249,34,566
2181207501,669,126,18,543
2181207502,931,295,39,636
2181207503,308,129,21,179
2181207504,1824,230,58,1594
2181207505,620,185,20,435
2181207506,1025,252,30,773
2181207507,1333,367,37,966
2181207508,1068,298,43,770
2181207509,1130,255,37,875
2181207510,701,343,28,358
2184907003,0,4,0,-4
2184907804,959,153,29,806
2184907805,881,108,29,773
2184907814,623,97,14,526
2184907815,1333,187,33,1146
2184907827,1282,133,40,1149
2184907828,531,67,10,464
2184907844,766,88,17,678
2184907845,1325,139,42,1186
2184907852,497,68,22,429
2184907853,624,73,12,551
2184907854,691,65,18,626
2184907855,1055,95,21,960
2184907856,1222,143,30,1079
2184907857,748,68,24,680
